count,num_states
1,15.0
1,8.0
1,14.0
1,12.0
1,14.0
1,11.0
1,15.0
1,12.0
1,10.0
1,16.0
2,8.0
2,69.0
2,8.0
2,73.0
2,82.0
2,45.0
2,8.0
2,40.0
2,104.0
2,66.0
3,1.0
3,329.0
3,123.0
3,367.0
3,104.0
3,76.0
3,1.0
3,215.0
3,1.0
3,1.0
4,1.0
4,97.0
4,15.0
4,712.0
4,219.0
4,96.0
4,139.0
4,1.0
4,1.0
4,7.0
5,28.0
5,4.0
5,2336.0
5,1.0
5,1.0
5,1.0
5,3.0
5,194.0
5,639.0
6,436.0
6,1.0
6,286.0
6,8.0
6,1.0
6,1.0
6,1.0
6,1.0
6,1.0
6,1.0
7,1.0
7,1.0
7,1.0
7,10.0
7,1.0
7,5.0
7,4.0
7,28.0
8,1.0
8,1.0
8,1.0
8,1.0
8,20.0
8,15.0
8,1.0
8,1.0
8,1.0
8,1.0
9,1.0
9,1.0
9,1.0
9,1.0
9,1.0
9,1.0
9,120.0
9,1.0
9,13.0
10,1.0
10,1.0
10,1.0
10,1.0
10,15.0
10,1.0
10,25.0
10,1.0
10,1.0
11,1.0
11,1.0
11,1.0
11,1.0
11,5.0
11,1.0
11,1.0
12,1.0
12,1.0
12,1.0
12,1.0
12,1.0
12,1.0
12,1.0
12,1.0
12,1.0
13,1.0
13,1.0
13,1.0
13,1.0
13,1.0
13,1.0
13,1.0
13,1.0
13,1.0
14,1.0
14,1.0
14,1.0
14,1.0
14,1.0
15,1.0
15,1.0
15,1.0
