count,time_ms
1,5.588833999354392
1,3.080542024690658
1,7.182499975897372
1,6.5890830010175705
1,4.831999947782606
1,4.279832995962352
1,3.8122909609228377
1,4.391417023725808
1,6.051375006791204
1,3.7396670086309314
2,12.492832960560918
2,19.70045897178352
2,7.30858399765566
2,26.449166995007545
2,26.92425000714138
2,10.449791967403144
2,11.188625008799136
2,8.310208038892597
2,29.90245900582522
2,25.16950003337115
3,11.377165967132896
3,752.007249975577
3,187.6291249645874
3,409.81795894913375
3,62.03987501794472
3,33.24479202274233
3,21.783541014883667
3,171.4502499671653
3,18.150667019654065
3,16.797083022538573
4,19.34408297529444
4,123.6470410367474
4,127.10316700395197
4,480.2987080183811
4,852.053833019454
4,60.080291994381696
4,254.82058298075572
4,48.78370900405571
4,37.02654200606048
4,46.40729201491922
5,387.1675420086831
5,139.24545794725418
5,8547.891833994072
5,89.94458400411531
5,118.97554097231476
5,34.08225002931431
5,61.17541698040441
5,839.1746249981225
5,6112.778624985367
6,6125.041416962631
6,225.799709034618
6,1559.8677499801852
6,380.326583981514
6,102.55258297547698
6,163.9013329986483
6,163.36333303479478
6,118.665374990087
6,111.63491598563267
6,61.42229196848348
7,184.3230000231415
7,648.3046659850515
7,93.58504100237042
7,423.66137501085177
7,533.4063330083154
7,614.4921660306863
7,635.6559580308385
7,775.3356249886565
8,375.1936249900609
8,779.3983750161715
8,957.220459007658
8,249.8908750130795
8,1679.3938749469817
8,1987.9151660134085
8,215.8964999835007
8,297.4875420331955
8,615.9548339783214
8,193.03879200015217
9,456.6763750044629
9,875.6802080315538
9,819.3917919998057
9,1239.2889170441777
9,1248.610125039704
9,2274.260333040729
9,8835.117291018832
9,679.5465420000255
9,7439.291167014744
10,1828.4621249767952
10,1159.2509580077603
10,1818.9806250156837
10,3167.304708971642
10,8989.702959021088
10,1013.5538749746048
10,5894.471250008792
10,2902.4264159961604
10,1626.8389580072835
11,1401.643958000932
11,1097.1287920256143
11,3952.725958020892
11,1481.5877910004929
11,3231.442582968157
11,2123.151665960904
11,2359.072457998991
12,5492.208042007405
12,2861.328875005711
12,6949.705292005092
12,2778.310708992649
12,2247.980083047878
12,2103.1845420366153
12,4100.669874984305
12,2681.689499993809
12,1668.1615830166263
13,5041.412625054363
13,3069.8527089552954
13,7240.200416999869
13,5197.141041979194
13,5858.5249580210075
13,4963.523707992863
13,5798.804666963406
13,4448.615333007183
13,6157.600333041046
14,6364.216916961595
14,8262.928290991113
14,9204.50679201167
14,8451.867041003425
14,7441.5225419797935
15,8371.393624984194
15,5950.523666979279
15,8182.039832987357
